Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,2010,401,Financial Accounting Conc,17%,19%,7%,2%,2%,0%,0%,15%,0%,29%,7%,3%,McCorkle Emily,
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,402,Financial Accounting Conc,9%,21%,9%,0%,2%,0%,0%,14%,0%,28%,12%,5%,McMillan Jeffrey J,
ACCT,2020,1,Managerial Accounting Co,54%,26%,3%,0%,0%,0%,0%,8%,0%,5%,5%,0%,Anderson Henry K.,
ACCT,2020,2,Managerial Accounting Co,37%,23%,9%,0%,0%,0%,0%,6%,0%,9%,3%,14%,Anderson Henry K.,
ACCT,2020,3,Managerial Accounting Co,58%,20%,5%,0%,3%,0%,0%,0%,0%,10%,0%,5%,Anderson Henry K.,
ACCT,2020,4,Managerial Accounting Co,38%,38%,5%,0%,0%,0%,0%,5%,0%,10%,0%,5%,Anderson Henry K.,
ACCT,2020,5,Managerial Accounting Co,24%,25%,7%,2%,0%,0%,0%,5%,0%,22%,3%,12%,Carver Brian Todd,
ACCT,2020,6,Managerial Accounting Co,14%,27%,2%,2%,0%,0%,0%,9%,0%,30%,2%,14%,Carver Brian Todd,
ACCT,2020,401,Managerial Accounting Co,39%,32%,3%,0%,0%,0%,0%,9%,0%,12%,1%,4%,Anderson Henry K.,
ACCT,2020,402,Managerial Accounting Co,26%,22%,3%,0%,0%,0%,0%,17%,0%,24%,2%,5%,McCorkle Emily,
,,,,,,,,,,,,,,,,Suzanne,
ACCT,3030,1,Cost Accounting,36%,36%,2%,2%,0%,0%,0%,0%,0%,21%,0%,2%,Way Daniel Thomas,
ACCT,3030,2,Cost Accounting,31%,29%,2%,5%,0%,0%,0%,0%,0%,26%,2%,5%,Way Daniel Thomas,
ACCT,3030,3,Cost Accounting,13%,37%,13%,0%,0%,0%,0%,8%,0%,21%,3%,5%,Garrett Jace B,
ACCT,3030,4,Cost Accounting,29%,36%,5%,2%,0%,0%,0%,0%,0%,24%,5%,0%,Garrett Jace B,
ACCT,3030,5,Cost Accounting,79%,5%,0%,0%,0%,0%,0%,3%,0%,13%,0%,0%,Martin Sarah L,
ACCT,3110,1,Intermediate Financial Acc,36%,29%,7%,4%,0%,0%,0%,7%,0%,18%,0%,0%,Madray J Russell,
ACCT,3110,2,Intermediate Financial Acc,24%,30%,3%,0%,0%,0%,0%,0%,0%,36%,6%,0%,Madray J Russell,
ACCT,3110,3,Intermediate Financial Acc,17%,21%,17%,3%,3%,0%,0%,0%,0%,24%,3%,10%,Hawkins Erin,
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,4,Intermediate Financial Acc,3%,30%,17%,0%,0%,0%,0%,13%,0%,27%,3%,7%,Hawkins Erin,
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,5,Intermediate Financial Acc,13%,31%,16%,0%,0%,0%,0%,3%,0%,31%,6%,0%,Hawkins Erin,
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,6,Intermediate Financial Acc,23%,29%,6%,0%,0%,0%,0%,6%,0%,35%,0%,0%,Philo Annieka C,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 2 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,7,Intermediate Financial Acc,21%,42%,0%,3%,0%,0%,0%,6%,0%,24%,0%,3%,Goodson Brian,
,,,,,,,,,,,,,,,,Matthew,
ACCT,3110,8,Intermediate Financial Acc,18%,55%,6%,0%,0%,0%,0%,3%,0%,18%,0%,0%,Goodson Brian,
,,,,,,,,,,,,,,,,Matthew,
ACCT,3120,1,Intermediate Financial Acc,47%,7%,7%,0%,0%,0%,0%,0%,0%,27%,0%,13%,Knause Terry Daniel,
ACCT,3120,2,Intermediate Financial Acc,30%,44%,0%,0%,0%,0%,0%,0%,0%,22%,4%,0%,Knause Terry Daniel,
ACCT,3120,3,Intermediate Financial Acc,37%,27%,10%,0%,0%,0%,0%,0%,0%,27%,0%,0%,Knause Terry Daniel,
ACCT,3120,4,Intermediate Financial Acc,37%,34%,3%,0%,0%,0%,0%,3%,0%,23%,0%,0%,Madray J Russell,
ACCT,3120,5,Intermediate Financial Acc,36%,50%,5%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Madray J Russell,
ACCT,3120,6,Intermediate Financial Acc,31%,17%,0%,3%,0%,0%,0%,3%,0%,34%,7%,3%,Knause Terry Daniel,
ACCT,3130,1,Analytics for Acct Dec Mak,76%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D,
ACCT,3130,2,Analytics for Acct Dec Mak,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D,
ACCT,3130,3,Analytics for Acct Dec Mak,19%,25%,0%,0%,0%,0%,0%,13%,0%,25%,0%,19%,Davis-Culler Phebian,
,,,,,,,,,,,,,,,,L,
ACCT,3130,4,Analytics for Acct Dec Mak,7%,14%,14%,0%,3%,0%,0%,7%,0%,38%,3%,14%,Davis-Culler Phebian,
,,,,,,,,,,,,,,,,L,
ACCT,3130,5,Analytics for Acct Dec Mak,42%,27%,4%,4%,0%,0%,0%,4%,0%,15%,0%,4%,Mammadov Babak,
ACCT,3220,1,Accounting Information Sy,4%,12%,12%,4%,8%,0%,0%,20%,0%,32%,8%,0%,Maiberger Philip A,
ACCT,3220,2,Accounting Information Sy,16%,32%,4%,4%,0%,0%,0%,16%,0%,20%,4%,4%,Maiberger Philip A,
ACCT,3220,3,Accounting Information Sy,19%,19%,0%,4%,0%,0%,0%,12%,0%,23%,4%,19%,Maiberger Philip A,
ACCT,3220,4,Accounting Information Sy,17%,17%,4%,0%,4%,0%,0%,17%,0%,33%,0%,8%,Maiberger Philip A,
ACCT,4040,1,Individual Taxation,69%,17%,3%,0%,0%,0%,0%,0%,0%,11%,0%,0%,Martin Sarah L,
ACCT,4040,2,Individual Taxation,73%,11%,3%,0%,0%,0%,0%,0%,0%,11%,0%,3%,Martin Sarah L,
ACCT,4040,3,Individual Taxation,47%,16%,5%,0%,3%,0%,0%,3%,0%,26%,0%,0%,Birtwistle Lisa,
,,,,,,,,,,,,,,,,Wheatley,
ACCT,4040,4,Individual Taxation,70%,20%,7%,0%,0%,0%,0%,0%,0%,0%,2%,0%,Martin Sarah L,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 3 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,4100,1,Reporting and Mgmt Contr,59%,9%,9%,0%,0%,0%,0%,0%,0%,24%,0%,0%,Kennedy Frances A,
ACCT,4100,2,Reporting and Mgmt Contr,56%,33%,7%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Kennedy Frances A,
ACCT,4100,3,Reporting and Mgmt Contr,39%,32%,3%,0%,0%,0%,0%,10%,0%,16%,0%,0%,McPhee Gregory,
,,,,,,,,,,,,,,,,Patrick,
ACCT,4150,1,Auditing,36%,42%,6%,0%,0%,0%,0%,0%,0%,12%,0%,3%,Vinson Jeremy,
,,,,,,,,,,,,,,,,Michael,
ACCT,4150,2,Auditing,32%,53%,9%,0%,0%,0%,0%,0%,0%,3%,0%,3%,Vinson Jeremy,
,,,,,,,,,,,,,,,,Michael,
ACCT,8520,1,Fin Acct Theory/Res,27%,47%,10%,0%,0%,0%,0%,0%,0%,17%,0%,0%,Welton Ralph Edward,
ACCT,8520,2,Fin Acct Theory/Res,40%,57%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Welton Ralph Edward,
ACCT,8540,1,Prof Responsibility,73%,20%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Radtke Robin R,
ACCT,8540,2,Prof Responsibility,84%,13%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Radtke Robin R,
ACCT,8540,3,Prof Responsibility,38%,58%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,Radtke Robin R,
ACCT,8560,1,CPA Exam Review-A,0%,0%,0%,0%,0%,98%,0%,2%,0%,0%,0%,0%,Barnes James D,
ACCT,8620,1,Financial Auditing,94%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Harp Nancy Lee,
ACCT,8620,2,Financial Auditing,91%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Harp Nancy Lee,
ACCT,8710,2,Corporate Taxation,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dalton Derek W.,
ACCT,8710,3,Corporate Taxation,78%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dalton Derek W.,
ACCT,8730,1,Intl/Spec Tax Topic,55%,37%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Kisska-Schulze,
,,,,,,,,,,,,,,,,Kathryn,
ACCT,8740,1,Tax Aspects of Finan Planni,79%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Hine John M,
AFLS,2000,1,Agric For Domestic Study T,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Bertrand Jean A,
AGED,2030,1,Teaching Agriscience,27%,36%,0%,9%,0%,0%,0%,9%,0%,9%,9%,0%,DiBenedetto,
,,,,,,,,,,,,,,,,Catherine A,
AGM,2050,1,Prin of Fabrication,21%,45%,10%,0%,0%,0%,0%,5%,0%,17%,2%,0%,Massey Hunter F,
AGM,2060,1,Machinery Mgt,27%,32%,9%,0%,0%,0%,0%,0%,0%,23%,0%,9%,Massey Hunter F,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 4 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGM,2200,1,Calc for Mechanized Agric,48%,27%,0%,0%,0%,0%,0%,3%,0%,15%,0%,6%,Turner Aaron Paul,
AGM,2210,1,Land Measurements,64%,31%,1%,0%,0%,0%,0%,0%,0%,1%,1%,1%,Privette Charles V,
AGM,4020,1,Irrigation System Design,44%,36%,4%,0%,4%,0%,0%,4%,0%,4%,0%,4%,Privette Charles V,
AGM,4100,1,Precision Ag Tech,52%,32%,8%,0%,2%,0%,0%,0%,0%,4%,0%,2%,Massey Hunter F,
AGM,4520,1,Mobile Power,55%,32%,6%,0%,0%,0%,0%,0%,0%,6%,0%,0%,Koc Ali Bulent,
AGM,4720,1,Capstone,74%,21%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Chastain John P,
AGRB,2020,1,Agricultural Economics,40%,27%,8%,2%,2%,0%,0%,2%,0%,11%,0%,8%,Ureta Julie Carl Pingol,
AGRB,2050,1,Agriculture and Society,20%,27%,16%,0%,0%,0%,0%,5%,0%,24%,0%,7%,Vassalos Michael,
AGRB,3080,1,Quant Agribusiness Analysi,18%,18%,9%,0%,0%,0%,0%,3%,0%,25%,8%,18%,Zhang Lisha,
AGRB,3190,1,Agribusiness Management,19%,22%,12%,2%,2%,0%,0%,5%,0%,21%,3%,14%,Vassalos Michael,
AGRB,3570,1,Natural Resources Econom,20%,42%,8%,0%,0%,0%,0%,4%,0%,26%,0%,0%,Willis David Brian,
AGRB,4020,1,Production Economics,17%,31%,7%,7%,0%,0%,0%,7%,0%,14%,0%,17%,De Figueiredo Silva,
,,,,,,,,,,,,,,,,Felipe,
AGRB,4080,1,Quant Agribusiness Analysi,7%,24%,10%,7%,0%,0%,0%,2%,0%,24%,10%,17%,Zhang Lisha,
AGRB,4560,1,Prices,47%,27%,4%,4%,0%,0%,0%,4%,0%,8%,0%,6%,Bolotova Yuliya,
,,,,,,,,,,,,,,,,Valentinovna,
AGRB,4570,1,"Natural Res Use, Tech & P",46%,23%,0%,8%,0%,0%,0%,8%,0%,15%,0%,0%,Willis David Brian,
AL,3340,401,Social Issues in Athletic Lea,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Soles Misty B,
AL,3490,400,Principles of Coaching,60%,20%,4%,0%,0%,0%,0%,0%,0%,12%,0%,4%,Cadorette Deborah Jo,
AL,3490,401,Principles of Coaching,54%,29%,0%,0%,0%,0%,0%,4%,0%,13%,0%,0%,Cadorette Deborah Jo,
AL,3490,402,Principles of Coaching,57%,22%,4%,0%,0%,0%,0%,0%,0%,17%,0%,0%,Cadorette Deborah Jo,
AL,3490,403,Principles of Coaching,76%,4%,0%,0%,0%,0%,0%,12%,0%,4%,0%,4%,Cadorette Deborah Jo,
AL,3490,404,Principles of Coaching,88%,0%,4%,0%,0%,0%,0%,0%,0%,4%,4%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,404,Principles of Coaching,88%,0%,4%,0%,0%,0%,0%,0%,0%,4%,4%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 5 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3490,406,Principles of Coaching,96%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,406,Principles of Coaching,96%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,407,Principles of Coaching,64%,12%,12%,0%,0%,0%,0%,4%,0%,8%,0%,0%,Mezzanotte Frank P,
AL,3490,408,Principles of Coaching,75%,21%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Plumblee John T,
AL,3490,409,Principles of Coaching,64%,16%,0%,0%,0%,0%,0%,4%,0%,16%,0%,0%,Plumblee John T,
AL,3490,410,Principles of Coaching,92%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,410,Principles of Coaching,92%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,411,Principles of Coaching,50%,29%,0%,0%,0%,0%,0%,4%,0%,17%,0%,0%,Connor Clyde Keith,
AL,3490,412,Principles of Coaching,92%,4%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Neuder Joel P,
AL,3490,413,Principles of Coaching,71%,13%,4%,0%,0%,0%,0%,0%,0%,4%,8%,0%,Plumblee John T,
AL,3490,414,Principles of Coaching,68%,8%,4%,8%,0%,0%,0%,0%,0%,8%,0%,4%,Mezzanotte Frank P,
AL,3500,400,Sci Basis I/Ex Phy,24%,16%,12%,4%,0%,0%,0%,0%,0%,28%,4%,12%,Godfrey Michael G,
AL,3500,401,Sci Basis I/Ex Phy,20%,32%,8%,4%,0%,0%,0%,4%,0%,32%,0%,0%,Godfrey Michael G,
AL,3520,400,Kinesiology,14%,19%,10%,0%,0%,0%,0%,33%,0%,10%,5%,10%,Colbert Isaac Sean,
AL,3530,400,Athletic Injuries,38%,42%,0%,0%,0%,0%,0%,13%,0%,8%,0%,0%,Colbert Isaac Sean,
AL,3530,401,Athletic Injuries,52%,41%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,Colbert Isaac Sean,
AL,3600,400,Hgh Sch Athl Ethical/Legal I,68%,23%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Connor Clyde Keith,
AL,3610,400,Admin/Org of Athletic Pro,69%,27%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3610,401,Admin/Org of Athletic Pro,88%,8%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3610,402,Admin/Org of Athletic Pro,77%,19%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3620,400,Psychology of Coaching,24%,24%,0%,0%,0%,0%,0%,0%,0%,40%,8%,4%,Carter Natalie Anne,
AL,3620,401,Psychology of Coaching,42%,17%,4%,0%,0%,0%,0%,0%,0%,29%,4%,4%,Carter Natalie Anne,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 6 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3620,402,Psychology of Coaching,32%,16%,0%,0%,0%,0%,0%,4%,0%,40%,4%,4%,Carter Natalie Anne,
AL,3720,400,Coaching Basketball,68%,12%,4%,0%,0%,0%,0%,4%,0%,12%,0%,0%,Fry Edmond H,
AL,3740,400,Coaching Football,79%,13%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Fry Edmond H,
AL,3750,400,Coaching Soccer,84%,8%,0%,0%,0%,0%,0%,4%,0%,4%,0%,0%,Hickey Justin M,
AL,3760,400,Coaching Strength/Conditi,48%,36%,0%,0%,4%,0%,0%,0%,0%,12%,0%,0%,Fry Edmond H,
AL,3760,401,Coaching Strength/Conditi,54%,38%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Fry Edmond H,
AL,4380,401,Officiating in Athl Leadersh,72%,24%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Connor Clyde Keith,
AL,4380,402,High School Recruiting,52%,24%,4%,0%,0%,0%,0%,4%,0%,16%,0%,0%,Hickey Justin M,
AL,4380,403,Coaching Baseball/Softball,65%,12%,0%,4%,0%,0%,0%,0%,0%,8%,8%,4%,Hickey Justin M,
AL,8380,400,Intercoll Ath Personnel Mg,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,400,Intercoll Ath Personnel Mg,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,401,Intercoll Ath Personnel Mg,90%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,401,Intercoll Ath Personnel Mg,90%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,402,Sports Op & Team Culture,67%,28%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Carlson Julianna D,
AL,8530,401,Legal Iss in Intercoll Athlet,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Soles Misty B,
AL,8630,400,Socio Dynam in Intercol At,60%,32%,4%,0%,0%,0%,0%,0%,0%,0%,4%,0%,Godfrey Michael G,
AL,8640,400,Ethical Iss in Collegiate Ath,92%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Magette Janna,
,,,,,,,,,,,,,,,,Theresa,
AL,8640,401,Ethical Iss in Collegiate Ath,75%,20%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Magette Janna,
,,,,,,,,,,,,,,,,Theresa,
AL,8640,402,Ethical Iss in Collegiate Ath,76%,10%,5%,0%,0%,0%,0%,5%,0%,5%,0%,0%,Magette Janna,
,,,,,,,,,,,,,,,,Theresa,
AL,8700,401,Intercoll Athletics Finance,67%,25%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Soles Misty B,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 7 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ANTH,2010,1,Introduction to Anthropol,64%,26%,1%,0%,1%,0%,0%,2%,0%,4%,1%,1%,Markus David M,
ANTH,2010,2,Introduction to Anthropol,60%,31%,0%,0%,1%,0%,0%,0%,0%,6%,2%,0%,Markus David M,
ANTH,2010,3,Introduction to Anthropol,44%,31%,2%,0%,0%,0%,0%,3%,0%,11%,3%,5%,Rapaport Lisa G,
ANTH,2010,4,Introduction to Anthropol,60%,28%,3%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Markus David M,
ANTH,2050,1,Professional Development,77%,15%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Weisensee Katherine,
,,,,,,,,,,,,,,,,E,
ANTH,3010,1,Cultural Anthropology,7%,21%,11%,0%,0%,0%,0%,21%,0%,25%,7%,7%,Coggeshall John M,
ANTH,3310,1,Archaeology,43%,33%,3%,0%,0%,0%,0%,3%,0%,17%,0%,0%,Markus David M,
ANTH,4660,1,Evolution of Human Behav,29%,43%,7%,0%,7%,0%,0%,0%,7%,0%,7%,0%,Rapaport Lisa G,
ANTH,4800,1,Business Anthropology,70%,20%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,Fisher Melissa,
,,,,,,,,,,,,,,,,Suzanne,
ANTH,4990,1,Underwater Archaeology,58%,8%,8%,0%,0%,0%,0%,8%,0%,8%,8%,0%,Markus David M,
ARCH,1510,1,Arch Communication,53%,20%,13%,0%,0%,0%,0%,13%,0%,0%,0%,0%,Mendez Clarissa A,
ARCH,1510,2,Arch Communication,50%,36%,0%,0%,0%,0%,0%,7%,0%,7%,0%,0%,Silance Robert T,
ARCH,1510,3,Arch Communication,43%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,Terim Berrin,
ARCH,1510,4,Arch Communication,57%,36%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,Choma Joseph,
ARCH,1510,5,Arch Communication,50%,36%,0%,0%,0%,0%,0%,0%,0%,7%,0%,7%,Melnyk Virginia Ellyn,
ARCH,1510,6,Arch Communication,50%,29%,14%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Pass Brandon George,
ARCH,2520,2,Arch Foundations II,50%,36%,7%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Mendez Clarissa A,
ARCH,2520,3,Arch Foundations II,21%,43%,7%,0%,0%,0%,0%,0%,0%,29%,0%,0%,Lee David M,
ARCH,2520,4,Arch Foundations II,57%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Pass Brandon George,
ARCH,2520,5,Arch Foundations II,57%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Melnyk Virginia Ellyn,
ARCH,2700,1,Structures I,92%,0%,4%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Kleiss Michael Carlos,
,,,,,,,,,,,,,,,,Barrios,
ARCH,2700,2,Structures I,93%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Kleiss Michael Carlos,
,,,,,,,,,,,,,,,,Barrios,
